Event,"Customer Name",Email,"Purchase Date"
"CPIM Summer 2024","Ryan Lewis",ryan@pixel-brick.com,5880
"Reading Phils Game","Ryan Lewis",ryan@rmlew.com,40
"Reading Phils Game",,hello@pixel-brick.com,40
"CPIM Summer 2024","Ryan Lewis",ryan@pixel-brick.com,2940
"CPIM Summer 2024","Ryan Lewis",ryan@pixel-brick.com,45
"Reading Phils Game","Ryan Lewis",ryan@pixel-brick.com,40
"Reading Phils Game","Ryan Lewis",ryan@pixel-brick.com,85
"Reading Phils Game","Ryan Lewis",ryan@pixel-brick.com,85
"CPIM Summer 2024","Ryan Lewis",ryan@pixel-brick.com,45
"Reading Phils Game","Ryan Lewis",ryan@pixel-brick.com,40
